"time"	"PX"	"PY"	"PZ"	"X"	"Y"	"Z"	"cell"	"eff"	"KM"	"n"	"ps0"	"psa"	"taumRNA"	"tauprot"	"Reaction1"	"Reaction10"	"Reaction11"	"Reaction12"	"Reaction2"	"Reaction3"	"Reaction4"	"Reaction5"	"Reaction6"	"Reaction7"	"Reaction8"	"Reaction9"	"a0tr"	"alpha"	"alpha0"	"atr"	"beta"	"kdmRNA"	"kdprot"	"ktl"	"tave"	"[PX]"	"[PY]"	"[PZ]"	"[X]"	"[Y]"	"[Z]"
470	1098.2116966344324	1030.7741459276072	54.041557941222116	25.480191104141657	0.36814368705076667	0.18072444083482408	1.	20.	40.	2.	0.0005	0.5	2.	10.	8.830761311982194	10.637699643654635	0.06970624629317602	0.07506363123809008	0.1275888793600909	0.06263431831146547	176.6152262396439	2.551777587201818	1.2526863662293097	76.12223411801108	71.44781930438064	3.745875352002503	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1098.2116966344324	1030.7741459276072	54.041557941222116	25.480191104141657	0.36814368705076667	0.18072444083482408
472	1309.772895601372	901.4425871041368	49.566328622428536	29.07603545948749	0.2745650613952196	0.20932603197269897	1.	20.	40.	2.	0.0005	0.5	2.	10.	10.076986000302373	11.850092824082319	0.057926072626517895	0.08889471178365879	0.09515699909318237	0.07254687443983862	201.53972000604747	1.9031399818636474	1.4509374887967725	90.78653897599266	62.483238768789526	3.4356760935344055	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1309.772895601372	901.4425871041368	49.566328622428536	29.07603545948749	0.2745650613952196	0.20932603197269897
474	1539.6084203782914	787.8780169735803	46.0975990637596	32.50479162047117	0.2142732439188685	0.24691908600917137	1.	20.	40.	2.	0.0005	0.5	2.	10.	11.265302333209062	12.903059394663984	0.050215901987519504	0.1070496724521107	0.07426144744589858	0.08557563414684788	225.30604666418125	1.4852289489179715	1.7115126829369578	106.71752357515636	54.61154260903979	3.1952420821627743	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1539.6084203782914	787.8780169735803	46.0975990637596	32.50479162047117	0.2142732439188685	0.24691908600917137
476	1781.7967935844893	688.3847489657708	43.63899217470295	35.55313438983529	0.17522294942359753	0.296267966876374	1.	20.	40.	2.	0.0005	0.5	2.	10.	12.321777431191583	13.713519269158981	0.0450963363598838	0.13085103309827198	0.06072764668118226	0.10267865296529295	246.43554862383164	1.2145529336236454	2.053573059305859	123.50474238038395	47.71519478860897	3.0248244388372862	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1781.7967935844893	688.3847489657708	43.63899217470295	35.55313438983529	0.17522294942359753	0.296267966876374
478	2028.3309061851612	601.36168714171	42.23471358141196	37.99625056977372	0.14974250802844874	0.3609665058448528	1.	20.	40.	2.	0.0005	0.5	2.	10.	13.168496977143935	14.20117161781545	0.041650920618299205	0.16201339075710972	0.05189679862494711	0.12510145790146737	263.3699395428787	1.037935972498942	2.5020291580293472	140.59318488648432	41.68321579390482	2.9274872640712526	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2028.3309061851612	601.36168714171	42.23471358141196	37.99625056977372	0.14974250802844874	0.3609665058448528
480	2269.327379746784	525.3356538056295	41.976535380420444	39.611045259673745	0.13297131810173646	0.4456732044889025	1.	20.	40.	2.	0.0005	0.5	2.	10.	13.72814217038762	14.29281348169716	0.03930845299716806	0.20275172342005737	0.04608434711877912	0.15445856257129936	274.56284340775244	0.9216869423755825	3.0891712514259875	157.29778750389715	36.413492728298756	2.909591714861322	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2269.327379746784	525.3356538056295	41.976535380420444	39.611045259673745	0.13297131810173646	0.4456732044889025
482	2493.3807768335964	458.9739787413865	43.01329648915143	40.19003569978883	0.12183856549941414	0.5564048020262911	1.	20.	40.	2.	0.0005	0.5	2.	10.	13.928804965956088	13.928551631156376	0.03771112522192885	0.25591469037586456	0.04222602907969357	0.1928352098872691	278.57609931912174	0.8445205815938714	3.856704197745382	172.82798555245733	31.81365193149723	2.9814545188044304	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2493.3807768335964	458.9739787413865	43.01329648915143	40.19003569978883	0.12183856549941414	0.5564048020262911
484	2688.0867520828483	401.08481921894395	45.5634115063155	39.56190606017044	0.11440731392774559	0.7008973146153428	1.	20.	40.	2.	0.0005	0.5	2.	10.	13.711111821592278	13.074526883920583	0.03663474155114913	0.3251454769462856	0.039650553542226706	0.2429124987438309	274.22223643184554	0.7930110708445341	4.8582499748766175	186.3239753306767	27.801081160700633	3.1582150222295153	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2688.0867520828483	401.08481921894395	45.5634115063155	39.56190606017044	0.11440731392774559	0.7008973146153428
486	2840.859237710282	350.61064836857537	49.9309199903192	37.627915571220306	0.10945867014948946	0.8890412170811518	1.	20.	40.	2.	0.0005	0.5	2.	10.	13.04084179426951	11.745335034053312	0.035940475419102814	0.4150705601446498	0.03793548430097983	0.30811820651069133	260.8168358853902	0.7587096860195967	6.162364130213827	196.91335709865572	24.30247823909724	3.460947641405396	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2840.859237710282	350.61064836857537	49.9309199903192	37.627915571220306	0.10945867014948946	0.8890412170811518
488	2940.242931133192	306.61830248409643	56.525590888415124	34.41703012291092	0.10623076420566087	1.1333914557426579	1.	20.	40.	2.	0.0005	0.5	2.	10.	11.928033696471207	10.030120068833028	0.03554574537726907	0.5315124051502899	0.03681677734894109	0.39280354600937767	238.56067392942413	0.7363355469788219	7.856070920187554	203.80210978762813	21.25316118749279	3.9180553953789876	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2940.242931133192	306.61830248409643	56.525590888415124	34.41703012291092	0.10623076420566087	1.1333914557426579
490	2977.802284552903	268.28763947092926	65.88747005519565	30.140335318337666	0.1042562731388878	1.4497411231009267	1.	20.	40.	2.	0.0005	0.5	2.	10.	10.445844223518547	8.10115284045089	0.03540675451844798	0.681714264973427	0.03613247089095382	0.502441986009608	208.91688447037095	0.7226494178190764	10.04883972019216	206.40552578028087	18.59628208783577	4.5669714102986685	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2977.802284552903	268.28763947092926	65.88747005519565	30.140335318337666	0.1042562731388878	1.4497411231009267
492	2950.2185050194576	234.90000501154552	78.71593388139416	25.19892031188001	0.10326223133242785	1.8577264107840996	1.	20.	40.	2.	0.0005	0.5	2.	10.	8.733280283667183	6.180690180250238	0.03550831200623365	0.8745522837374143	0.0357879622532006	0.6438389119433727	174.66560567334366	0.715759245064012	12.876778238867454	204.49356387900136	16.28202761872698	5.456172763503143	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2950.2185050194576	234.90000501154552	78.71593388139416	25.19892031188001	0.10326223133242785	1.8577264107840996
494	2860.672925458024	205.82717513341436	95.9026718908509	20.107073553399257	0.10310934341717412	2.3813957192255226	1.	20.	40.	2.	0.0005	0.5	2.	10.	6.968580671425068	4.471101032914038	0.03585848619407155	1.120690088810462	0.0357349753395007	0.825328864289347	139.37161342850135	0.714699506790014	16.506577285786943	198.28673727854	14.266852612634423	6.647466662930881	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2860.672925458024	205.82717513341436	95.9026718908509	20.107073553399257	0.10310934341717412	2.3813957192255226
496	2718.577201075214	180.5211259496723	118.56690108014054	15.35269002856522	0.10375687268194402	3.0496228444895017	1.	20.	40.	2.	0.0005	0.5	2.	10.	5.320836903655384	3.0924385639629697	0.036486783072845315	1.4326024523380327	0.03595939188160335	1.0569187382145493	106.41673807310768	0.7191878376320671	21.138374764290987	188.43741220598318	12.512770948352212	8.218431319142935	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2718.577201075214	180.5211259496723	118.56690108014054	15.35269002856522	0.10375687268194402	3.0496228444895017
498	2537.5430849425425	158.50479390860022	148.08930523132045	11.27349238518454	0.10524477398372516	3.896169343511575	1.	20.	40.	2.	0.0005	0.5	2.	10.	3.907094730927338	2.06787074377708	0.0374451246847832	1.8243576281583063	0.036475059177743886	1.3503093977195706	78.14189461854676	0.7295011835548778	27.006187954391415	175.8890834877309	10.986715100298143	10.264768439217093	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2537.5430849425425	158.50479390860022	148.08930523132045	11.27349238518454	0.10524477398372516	3.896169343511575
